articleId,arg1,arg2,sentence1,label
14967461,T1,T22,"$$ Epidermal growth factor receptor $$ inhibitors currently under investigation include the small molecules @@ gefitinib @@ (Iressa, ZD1839) and erlotinib (Tarceva, OSI-774), as well as monoclonal antibodies such as cetuximab (IMC-225, Erbitux).",4
14967461,T2,T22,"$$ Epidermal growth factor receptor $$ inhibitors currently under investigation include the small molecules gefitinib (@@ Iressa @@, ZD1839) and erlotinib (Tarceva, OSI-774), as well as monoclonal antibodies such as cetuximab (IMC-225, Erbitux).",4
14967461,T3,T22,"$$ Epidermal growth factor receptor $$ inhibitors currently under investigation include the small molecules gefitinib (Iressa, @@ ZD1839 @@) and erlotinib (Tarceva, OSI-774), as well as monoclonal antibodies such as cetuximab (IMC-225, Erbitux).",4
14967461,T4,T22,"$$ Epidermal growth factor receptor $$ inhibitors currently under investigation include the small molecules gefitinib (Iressa, ZD1839) and @@ erlotinib @@ (Tarceva, OSI-774), as well as monoclonal antibodies such as cetuximab (IMC-225, Erbitux).",4
14967461,T5,T22,"$$ Epidermal growth factor receptor $$ inhibitors currently under investigation include the small molecules gefitinib (Iressa, ZD1839) and erlotinib (@@ Tarceva @@, OSI-774), as well as monoclonal antibodies such as cetuximab (IMC-225, Erbitux).",4
14967461,T6,T22,"$$ Epidermal growth factor receptor $$ inhibitors currently under investigation include the small molecules gefitinib (Iressa, ZD1839) and erlotinib (Tarceva, @@ OSI-774 @@), as well as monoclonal antibodies such as cetuximab (IMC-225, Erbitux).",4
14967461,T7,T22,"$$ Epidermal growth factor receptor $$ inhibitors currently under investigation include the small molecules gefitinib (Iressa, ZD1839) and erlotinib (Tarceva, OSI-774), as well as monoclonal antibodies such as @@ cetuximab @@ (IMC-225, Erbitux).",4
14967461,T8,T22,"$$ Epidermal growth factor receptor $$ inhibitors currently under investigation include the small molecules gefitinib (Iressa, ZD1839) and erlotinib (Tarceva, OSI-774), as well as monoclonal antibodies such as cetuximab (@@ IMC-225 @@, Erbitux).",4
14967461,T9,T22,"$$ Epidermal growth factor receptor $$ inhibitors currently under investigation include the small molecules gefitinib (Iressa, ZD1839) and erlotinib (Tarceva, OSI-774), as well as monoclonal antibodies such as cetuximab (IMC-225, @@ Erbitux @@).",4
14967461,T10,T23,"Agents that have only begun to undergo clinical evaluation include @@ CI-1033 @@, an irreversible pan-$$ erbB $$ tyrosine kinase inhibitor, and PKI166 and GW572016, both examples of dual kinase inhibitors (inhibiting epidermal growth factor receptor and Her2).",4
14967461,T10,T24,"Agents that have only begun to undergo clinical evaluation include @@ CI-1033 @@, an irreversible pan-erbB $$ tyrosine kinase $$ inhibitor, and PKI166 and GW572016, both examples of dual kinase inhibitors (inhibiting epidermal growth factor receptor and Her2).",4
14967461,T10,T25,"Agents that have only begun to undergo clinical evaluation include @@ CI-1033 @@, an irreversible pan-erbB tyrosine kinase inhibitor, and PKI166 and GW572016, both examples of dual $$ kinase $$ inhibitors (inhibiting epidermal growth factor receptor and Her2).",0
14967461,T10,T26,"Agents that have only begun to undergo clinical evaluation include @@ CI-1033 @@, an irreversible pan-erbB tyrosine kinase inhibitor, and PKI166 and GW572016, both examples of dual kinase inhibitors (inhibiting $$ epidermal growth factor receptor $$ and Her2).",0
14967461,T10,T27,"Agents that have only begun to undergo clinical evaluation include @@ CI-1033 @@, an irreversible pan-erbB tyrosine kinase inhibitor, and PKI166 and GW572016, both examples of dual kinase inhibitors (inhibiting epidermal growth factor receptor and $$ Her2 $$).",0
14967461,T11,T23,"Agents that have only begun to undergo clinical evaluation include CI-1033, an irreversible pan-$$ erbB $$ @@ tyrosine @@ kinase inhibitor, and PKI166 and GW572016, both examples of dual kinase inhibitors (inhibiting epidermal growth factor receptor and Her2).",0
14967461,T11,T25,"Agents that have only begun to undergo clinical evaluation include CI-1033, an irreversible pan-erbB @@ tyrosine @@ kinase inhibitor, and PKI166 and GW572016, both examples of dual $$ kinase $$ inhibitors (inhibiting epidermal growth factor receptor and Her2).",0
14967461,T11,T26,"Agents that have only begun to undergo clinical evaluation include CI-1033, an irreversible pan-erbB @@ tyrosine @@ kinase inhibitor, and PKI166 and GW572016, both examples of dual kinase inhibitors (inhibiting $$ epidermal growth factor receptor $$ and Her2).",0
14967461,T11,T27,"Agents that have only begun to undergo clinical evaluation include CI-1033, an irreversible pan-erbB @@ tyrosine @@ kinase inhibitor, and PKI166 and GW572016, both examples of dual kinase inhibitors (inhibiting epidermal growth factor receptor and $$ Her2 $$).",0
14967461,T12,T23,"Agents that have only begun to undergo clinical evaluation include CI-1033, an irreversible pan-$$ erbB $$ tyrosine kinase inhibitor, and @@ PKI166 @@ and GW572016, both examples of dual kinase inhibitors (inhibiting epidermal growth factor receptor and Her2).",0
14967461,T12,T24,"Agents that have only begun to undergo clinical evaluation include CI-1033, an irreversible pan-erbB $$ tyrosine kinase $$ inhibitor, and @@ PKI166 @@ and GW572016, both examples of dual kinase inhibitors (inhibiting epidermal growth factor receptor and Her2).",0
14967461,T12,T25,"Agents that have only begun to undergo clinical evaluation include CI-1033, an irreversible pan-erbB tyrosine kinase inhibitor, and @@ PKI166 @@ and GW572016, both examples of dual $$ kinase $$ inhibitors (inhibiting epidermal growth factor receptor and Her2).",4
14967461,T12,T26,"Agents that have only begun to undergo clinical evaluation include CI-1033, an irreversible pan-erbB tyrosine kinase inhibitor, and @@ PKI166 @@ and GW572016, both examples of dual kinase inhibitors (inhibiting $$ epidermal growth factor receptor $$ and Her2).",4
14967461,T12,T27,"Agents that have only begun to undergo clinical evaluation include CI-1033, an irreversible pan-erbB tyrosine kinase inhibitor, and @@ PKI166 @@ and GW572016, both examples of dual kinase inhibitors (inhibiting epidermal growth factor receptor and $$ Her2 $$).",4
14967461,T13,T23,"Agents that have only begun to undergo clinical evaluation include CI-1033, an irreversible pan-$$ erbB $$ tyrosine kinase inhibitor, and PKI166 and @@ GW572016 @@, both examples of dual kinase inhibitors (inhibiting epidermal growth factor receptor and Her2).",0
14967461,T13,T24,"Agents that have only begun to undergo clinical evaluation include CI-1033, an irreversible pan-erbB $$ tyrosine kinase $$ inhibitor, and PKI166 and @@ GW572016 @@, both examples of dual kinase inhibitors (inhibiting epidermal growth factor receptor and Her2).",0
14967461,T13,T25,"Agents that have only begun to undergo clinical evaluation include CI-1033, an irreversible pan-erbB tyrosine kinase inhibitor, and PKI166 and @@ GW572016 @@, both examples of dual $$ kinase $$ inhibitors (inhibiting epidermal growth factor receptor and Her2).",4
14967461,T13,T26,"Agents that have only begun to undergo clinical evaluation include CI-1033, an irreversible pan-erbB tyrosine kinase inhibitor, and PKI166 and @@ GW572016 @@, both examples of dual kinase inhibitors (inhibiting $$ epidermal growth factor receptor $$ and Her2).",4
14967461,T13,T27,"Agents that have only begun to undergo clinical evaluation include CI-1033, an irreversible pan-erbB tyrosine kinase inhibitor, and PKI166 and @@ GW572016 @@, both examples of dual kinase inhibitors (inhibiting epidermal growth factor receptor and $$ Her2 $$).",4
7678677,T14,T19,@@ Alprenolol @@ and bromoacetylalprenololmenthane are competitive slowly reversible antagonists at the $$ beta 1-adrenoceptors $$ of rat left atria.,6
